,0,COI?
0,,No
1,"M.M. Brands reports research funding from Intrabio and serving as principal investigator at the Amsterdam site for the study: N-Acetyl-L-Leucine for Niemann-Pick Disease, Type C (NPC). M. el Sayed is involved in a premarketing study with Indorses; all financial arrangements are made through AMC Research BV. CH.E. Hollak and M. Langeveld are involved in premarketing studies with Genzyme, Idorsia, and Protalix. S.J. van der Veen was involved in premarketing studies with Chiesi/Protalix; financial arrangements were made through AMC Research BV. A.B.P. van Kuilenburg reports research funding from Biosidus. L. Vogt reports consultancy for AstraZeneca Netherlands, Bayer BV Netherlands, and Vifor Pharma Netherlands; research funding from Dutch Kidney Foundation and Health Holland; and role as an Associate Editor of <i>BMC Nephrology</i>. All remaining authors have nothing to disclose.",
2,"Dr. Bhatt discloses the following relationships - Advisory Board: Angiowave, Bayer, Boehringer Ingelheim, Cardax, CellProthera, Cereno Scientific, Elsevier Practice Update Cardiology, High Enroll, Janssen, Level Ex, McKinsey, Medscape Cardiology, Merck, MyoKardia, NirvaMed, Novo Nordisk, PhaseBio, PLx Pharma, Regado Biosciences, Stasys; Board of Directors: Angiowave (stock options), Boston VA Research Institute, Bristol Myers Squibb (stock), DRS.LINQ (stock options), High Enroll (stock), Society of Cardiovascular Patient Care, TobeSoft; Chair: Inaugural Chair, American Heart Association Quality Oversight Committee; Consultant: Broadview Ventures; Data Monitoring Committees: Acesion Pharma, Assistance Publique-Hôpitaux de Paris, Baim Institute for Clinical Research (formerly Harvard Clinical Research Institute, for the PORTICO trial, funded by St. Jude Medical, now Abbott), Boston Scientific (Chair, PEITHO trial), Cleveland Clinic (including for the ExCEED trial, funded by Edwards), Contego Medical (Chair, PERFORMANCE 2), Duke Clinical Research Institute, Mayo Clinic, Mount Sinai School of Medicine (for the ENVISAGE trial, funded by Daiichi Sankyo; for the ABILITY-DM trial, funded by Concept Medical), Novartis, Population Health Research Institute; Rutgers University (for the NIH-funded MINT Trial); Honoraria: American College of Cardiology (Senior Associate Editor, Clinical Trials and News, ACC.org; Chair, ACC Accreditation Oversight Committee), Arnold and Porter law firm (work related to Sanofi/Bristol-Myers Squibb clopidogrel litigation), Baim Institute for Clinical Research (formerly Harvard Clinical Research Institute; RE-DUAL PCI clinical trial steering committee funded by Boehringer Ingelheim; AEGIS-II executive committee funded by CSL Behring), Belvoir Publications (Editor in Chief, Harvard Heart Letter), Canadian Medical and Surgical Knowledge Translation Research Group (clinical trial steering committees), Cowen and Company, Duke Clinical Research Institute (clinical trial steering committees, including for the PRONOUNCE trial, funded by Ferring Pharmaceuticals), HMP Global (Editor in Chief, Journal of Invasive Cardiology), Journal of the American College of Cardiology (Guest Editor; Associate Editor), K2P (Co-Chair, interdisciplinary curriculum), Level Ex, Medtelligence/ReachMD (CME steering committees), MJH Life Sciences, Oakstone CME (Course Director, Comprehensive Review of Interventional Cardiology), Piper Sandler, Population Health Research Institute (for the COMPASS operations committee, publications committee, steering committee, and USA national co-leader, funded by Bayer), Slack Publications (Chief Medical Editor, Cardiology Today’s Intervention), Society of Cardiovascular Patient Care (Secretary/Treasurer), WebMD (CME steering committees), Wiley (steering committee); Other: Clinical Cardiology (Deputy Editor), NCDR-ACTION Registry Steering Committee (Chair), VA CART Research and Publications Committee (Chair); Patent: Sotagliflozin (named on a patent for sotagliflozin assigned to Brigham and Women's Hospital who assigned to Lexicon; neither I nor Brigham and Women's Hospital receive any income from this patent); Research Funding: Abbott, Acesion Pharma, Afimmune, Aker Biomarine, Amarin, Amgen, AstraZeneca, Bayer, Beren, Boehringer Ingelheim, Boston Scientific, Bristol-Myers Squibb, Cardax, CellProthera, Cereno Scientific, Chiesi, CinCor, CSL Behring, Eisai, Ethicon, Faraday Pharmaceuticals, Ferring Pharmaceuticals, Forest Laboratories, Fractyl, Garmin, HLS Therapeutics, Idorsia, Ironwood, Ischemix, Janssen, Javelin, Lexicon, Lilly, Medtronic, Merck, Moderna, MyoKardia, NirvaMed, Novartis, Novo Nordisk, Owkin, Pfizer, PhaseBio, PLx Pharma, Recardio, Regeneron, Reid Hoffman Foundation, Roche, Sanofi, Stasys, Synaptic, The Medicines Company, Youngene, 89Bio; Royalties: Elsevier (Editor, Braunwald's Heart Disease); Site Co-Investigator: Abbott, Biotronik, Boston Scientific, CSI, Endotronix, St. Jude Medical (now Abbott), Philips, SpectraWAVE, Svelte, Vascular Solutions; Trustee: American College of Cardiology; Unfunded Research: FlowCo, Takeda. P. Ho reports research funding: PMH had a research agreement with Bristol-Myers Squibb through the University of Colorado and advisory or leadership role: Deputy Editor for Circulation: Cardiovascular Quality and Outcomes. H. Hochheiser reports research funding: Philips Respironics. P. Palevsky reports consultancy: Janssen Research & Development, LLC and advisory or leadership role: National Kidney Foundation: Past President, Member, Scientific Advisory Board, Renal Physicians Association: Member, Quality, Safety and Accountability Committee, Quality Insights Renal Network 4: Chair, Medical Review Board, UpToDate: Section Editor, RAcute Kidney Injury, Journal of Intensive Care Medicine: Member, Editorial Board. S. Weisbord reports consultancy: Takeda. All remaining authors have nothing to disclose.",
3,Financial Disclosure: The authors declare that they have no relevant financial interests.,No
4,The authors declare no funding or conflict of interest.,No
5,R.J. Johnson reports having consultancy agreements with Horizon Pharmaceuticals; reports having ownership interest in Colorado Research Partners LLC (founder shares); reports receiving research funding from the National Institutes of Health and Veteran's Administration; reports receiving honoraria from Horizon Pharmaceutical and universities; reports having patents or patent applications on uric acid and fructose metabolism; reports receiving royalties from <i>Comprehensive Clinical Nephrology</i> (Elsevier) and <i>Nature Wants Us to Be Fat</i> (BenBella); and reports having stocks in XORTX Therapeutics. S.E. Young reports consultancy agreements with Horizon Therapeutics. The remaining author has nothing to disclose.,
6,"T. Greene reports grant support from Durect Corporation, Janssen Pharmaceuticals, NKF, and Pfizer; consultancy for AstraZeneca, Invokana, Janssen Pharmaceuticals, Novartis, and Pfizer Inc.; and research funding from AstraZeneca, Boehringer Ingelheim, CSL, and Vertex. A. Gucciardo is employed by the National Kidney Foundation. H.J.L. Heerspink received grant support from the NKF to his institute and is a consultant for AstraZeneca, Bayer, Boehringer Ingelheim, Chinook, CSL Behring, Dimerix, Eli Lilly, Gilead, Janssen, Merck, Novartis, NovoNordisk, and Travere Therapeutics. L.A. Inker reports funding from Chinook, the National Institutes of Health (NIH), the National Kidney Foundation (NKF), Omeros, and Reata Pharmaceuticals for research and contracts to the Tufts Medical Center and consulting agreements with Diamerix. The remaining author has nothing to disclose.",
7,"J. Bitzel and D.M. Patel report employment with Johns Hopkins University. D.C. Crews reports employment with Johns Hopkins University; consultancy for Yale New Haven Health Services Corporation Center for Outcomes Research and Evaluation (CORE); research funding from Baxter International and Somatus, Inc.; honoraria from Maze Therapeutics; and other interests or relationships with Board of Directors of National Kidney Foundation of Maryland/Delaware, Council of Subspecialist Societies of the American College of Physicians, Executive Councilor of the American Society of Nephrology, and Nephrology Board of the American Board of Internal Medicine. D.C. Crews reports advisory or leadership roles for Advisory Group, Health Equity Collaborative, Partner Research for Equitable System Transformation after COVID-19 (PRESTAC); Associate Editor for <i>Kidney360</i>; Co-Chair of Bayer HealthCare Pharmaceuticals Inc. Patient and Physician Advisory Board Steering Committee for Disparities in Chronic Kidney Disease Project; Editorial Boards for <i>CJASN</i>, <i>JASN</i>, and the <i>Journal of Renal Nutrition</i>; and Optum Labs. D.M. Fine reports employment with Johns Hopkins University School of Medicine, consultancy for Fresenius Kidney Care Medical Advisory Board and GlaxoSmithKline DSMB, and advisory or leadership role for Medical Advisory Board—Fresenius Medical Corporation. T. Grader-Beck reports employment with Johns Hopkins, consultancy for IQVIA and Novartis, and advisory or leadership role for Novartis. M.E. Grams reports employment with New York University; advisory or leadership roles for the <i>American Journal of Kidney Diseases</i>, the American Society of Nephrology Publication Committee, <i>CJASN</i>, the <i>JASN</i> Editorial Fellowship Committee, the National Kidney Foundation Scientific Advisory Board, the Kidney Disease: Improving Global Outcomes Executive Committee (co-chair elect), and the United States Renal Data System Scientific Advisory Board; grant funding from NKF, which receives funding from multiple pharmaceutical companies; grant funding from NIH; payment from academic institutions for grand rounds; and payment from NephSAP. C.R. Parikh reports employment with Johns Hopkins University School of Medicine; consultancy for Genfit Biopharmaceutical Company; ownership interest in Renaltix AI; research funding from the National Heart, Lung and Blood Institute (NHLBI) and the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK); and advisory or leadership roles for Genfit Biopharmaceutical Company and Renalytix. S. Thavarajah reports employment with Johns Hopkins University School of Medicine and other interests or relationships with the National Kidney Foundation as a National Board member and member of the national scientific advisory board and with the local NKF chapter medical advisory board and board of advisors. S. Thavarajah reports advisory or leadership roles as Medical Advisory Board NKF of Maryland immediate past chair and as previous vice chair of Maryland Kidney Commission 2021–2022, and now chair. S. Thavarajah reports honoraria as a speaker for a CME program conducted by the NKF in December 2020—the NKF had funding for the program and provided a speaker's honorarium to each of the faculty speakers. The original funding was from Bayer, but the honorarium came through the NKF.",
8,"A.G. Gharavi reports having consultancy agreements with Actio Biosciences, AstraZeneca Center for Genomics Research, Goldfinch Bio, Natera, Novartis, and Travere; reports having an ownership interest in Actio Biosciences; reports receiving research funding from Natera and the Renal Research Institute; reports receiving honoraria from Alnylam and Sanofi; and reports having an advisory or leadership role with the editorial boards of <i>JASN</i> and the <i>Journal of Nephrology</i>. A. Parsa reports having an advisory or leadership role with the National Institutes of Health (NIH). B. Levy reports having consultancy agreements with Igenomix, Myome, Myriad, and Natera; reports having an ownership interest in Natera; and reports having an advisory or leadership role with American College of Medical Genetics Foundation, College of American Pathologists Cytogenetics committee, Cancer Genomics Consortium, International Society for Prenatal Diagnosis, and Wiley Prenatal Diagnosis. B.A. Warady reports having consultancy agreements with Amgen, Bayer, Lightline Medical Reata, Relypsa, and UpToDate; reports receiving research funding from Baxter Healthcare; reports receiving honoraria from Amgen, Bayer, Reata, Relypsa, and UpToDate; and reports having an advisory or leadership role with Midwest Transplant Network Governing Board, National Kidney Foundation, North American Pediatric Renal Trials and Collaborative Studies, and NTDS Board of Directors. C.S. Wong reports having an advisory or leadership role with the Steering Committee for National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)–funded CKiD study, participated in the past year on the <i>ad hoc</i> advisory committee to the National Kidney Foundation, board of the New Mexico Pediatric Society in Albuquerque, NM; and reports having other interests or relationships with a contract with NephCure International as part of the CurGN study (participating site). D.R. Crosslin reports having consultancy agreements with UnitedHealth Group; reports having an ownership interest in SoundBiology LLC; reports receiving research funding from UnitedHealth Group; and reports having an advisory or leadership role with the UnitedHealth Group. A.Khan received funding from NIH National Center for Advancing Translational Sciences grant UL1TR001873 and NIH NIDDK grant K25DK128563. E.E. Kenny reports having consultancy agreements with and Forsite Labs Inc. and Galatea Inc.; reports having an ownership interest in Galatea Inc, and Forsite Labs Inc.; reports receiving honoraria from 23&Me, Illumina Inc., and Regeneron Pharmaceuticals; reports having an advisory or leadership role with the editorial boards of <i>American Journal of Human Genetics</i>, Cell Genomics, Frontiers in Ecology and Evolution, and G3; reports being on the Advisory Boards of the American Society of Human Genetics (un-paid), Forsite Labs Inc. (paid), and Galatea Inc., Chair of Science Foundation Ireland Center for Research Training in Genomics Data Science Board (un-paid); and reports receiving speakers bureau from 23&Me, Illumina Inc, and Regeneron, Inc. H.I. Feldman reports having consultancy agreements with Kyowa Hakko Kirin and the National Kidney Foundation; reports receiving honoraria from InMed Inc.; reports having an advisory or leadership role as the American Journal of Kidney Disease Editor in Chief, Member of Advisory Board of the National Kidney Foundation, and Steering Committee Chair of the CRIC Study; and reports receiving speakers bureau from InMed, Inc. K. Kiryluk reports having consultancy agreements with Calvariate, and HiBio; and reports receiving research funding from Aevi Genomics, AstraZeneca, Bioporto, Vanda, and Visterra. Mr. Pavan Khosla reports previous employment with Basepair Inc., and reports having an ownership interest in BioNano Genomics Inc., Canopy Growth Corp., GrowGeneration Corp., GSK PLC (formerly GlaxoSmithKline PLC), Pfizer Inc., Pacific Biosciences of California Inc., Nokia Oyj., and 10X Genomics Inc. R.J.F. Loos reports having consultancy agreements with Regeneron; and reports having an advisory or leadership role as Board member of the European Association of the Study of Diabetes. Dr. Simone Sanna-Cherchi reports receiving research funding from NIH/NIDDK, US Department of Defense; reports receiving honoraria from Travere Therapeutics; and reports having an advisory or leadership role with the editorial boards, with no royalties received, from <i>Acta Biomedica</i>, <i>Kidney International</i>, <i>Journal of Nephrology</i>, and Negative Results. Y. Shen reports having an advisory or leadership role with the Scientific Reports. All remaining authors have nothing to disclose. Funding for the CRIC study was obtained under a cooperative agreement from the NIDDK through grants U01DK060990, U01DK060984, U01DK061022, U01DK061021, U01DK061028, U01DK060980, U01DK060963, U01DK060902, and U24DK060990). The eMERGE Network was initiated and funded by National Human Genome Research Institute through grants: U01HG006828 (Cincinnati Children's Hospital Medical Center and Boston Children's Hospital), U01HG006830 (Children's Hospital of Philadelphia), U01HG006389 (Essentia Institute of Rural Health, Marshfield Clinic Research Foundation, and Pennsylvania State University), U01HG006382 (Geisinger Clinic), U01HG006375 (Group Health Cooperative and the University of Washington), U01HG006379 (Mayo Clinic), U01HG006380 (Icahn School of Medicine at Mount Sinai), U01HG006388 (Northwestern University), U01HG006378 (Vanderbilt University Medical Center), and U01HG006385 (Vanderbilt University Medical Center serving as the coordinating center). Participation of Columbia University in the eMERGE network was supported by National Human Genome Research Institute grant U01HG008680 (to C. Weng, A.G. Gharavi, and G. Hripcsak). The CKiD study was conducted by the CKiD Investigators and supported by the NIDDK, with additional funding from the National Institute of Child Health and Human Development, and the National Heart, Lung, and Blood Institute (U01-DK-66143, U01-DK-66174, U01DK-082194, U01-DK-66116). The data and biospecimens from the CKiD study reported here were supplied by the NIDDK Central Repository. The FIND study was supported by grants U01DK57292, U01DK57329, U01DK057300, U01DK057298, U01DK057249, U01DK57295, U01DK070657, U01DK057303, and U01DK57304 from the NIDDK and, in part, by the Intramural Research Program of the NIDDK; support was also received from the National Heart, Lung and Blood Institute grants U01HL065520, U01HL041654, and U01HL041652; this project has been funded in whole or in part with federal funds from the National Cancer Institute, NIH, under contract N01-CO-12400 and the Intramural Research Program of the National Cancer Institute, Center for Cancer Research; this work was also supported by the National Center for Research Resources for the General Clinical Research Center grants: Case Western Reserve University, M01-RR-000080, Wake Forest University, M01-RR-07122, Harbor-University of California, Los Angeles Medical Center, M01-RR-00425, College of Medicine, University of California, Irvine, M01-RR-00827–29, University of New Mexico, HSC M01-RR-00997, and Frederic C. Bartter, M01-RR-01346. Because A.G. Gharavi is an editor of the <i>Journal of the American Society of Nephrology</i>, he was not involved in the peer review process for this manuscript. A guest editor oversaw the peer review and decision-making process for this manuscript.",
9,"P. Wang reports research funding from the National Natural Science Foundation of China (81873612); advisory or leadership role as department director, Blood Purification Center, The First Affiliated Hospital of Zhengzhou University; and other interests or relationships as Youth Committee of Chinese Medical Association Nephrology Branch, vice chairman. All remaining authors have nothing to disclose.",
