aff,parent
"Otsuka Pharmaceutical Development & Commercialization, Princeton, New Jersey.",Otsuka Inc]JP
"AMGA (American Medical Group Association), Alexandria, Virginia and OptumLabs Visiting Fellow.",AMGA]US
"Division of Nephrology, San Francisco, California.",
"Department of Medicine, Division of Nephrology and Hypertension and Department of Transplantation Medicine, New York Presbyterian Hospital-Weill Cornell Medical Center, New York, NY.",Cornell University]US
"Division of Nephrology, Yale University, New Haven, Connecticut.",Yale University]US
"Renal-Electrolyte and Hypertension Division, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA",University of Pennsylvania]US
"Department of Obstetrics and Gynecology, University of Washington, Seattle, WA.",University of Washington]US
"Department of Regenerative Medicine Research, Texas Heart Institute, Houston, TX.",Texas Heart Institute]US
"Department of Surgery, Division of Transplantation and Department of Microbiology and Immunology, University of Maryland School of Medicine, Baltimore, MD.",University of Maryland]US
"Division of Nephrology, Department of Medicine, Columbia University, New York, New York.",Columbia University]US
"Department of Medicine, Cedars-Sinai Medical Center, Los Angeles, California, USA.",University of California]US
"Department Epidemiology and Biostatistics, University of California at San Francisco, San Francisco",University of California]US
"Division of Nephrology-Hypertension, University of California San Diego, San Diego, California.",University of California]US
"Department of Medicine, University of Alabama at Birmingham and VA Birmingham Health Care, Birmingham, Alabama.",University of Alabama]US
"University of Alabama at Birmingham, Heersink School of Medicine, Birmingham, Alabama, USA.",Univeristy of Alabama]US
"School of Public Health, The University of Texas Health Science Center at Houston, Houston, Texas.",University of Texas]US
"Division of Transplantation, Department of Surgery, University of California, San Francisco, California, USA. Electronic address: qizhi.tang@ucsf.edu.",University of California]US
"Division of Abdominal Transplantation, Department of Surgery and Perioperative Care, Dell Medical School at the University of Texas at Austin, Austin, Texas, USA.",University of Texas]US
"Division of Cardiovascular Disease, University of Alabama-Birmingham, Birmingham, Alabama.",University of Alabama]US
"Division of General Internal Medicine, School of Medicine, Duke University, Durham, North Carolina",Duke University]US
"GlaxoSmithKline, Collegeville, PA.",GlaxoSmithKline Inc]GB
