,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Hunan Clinical Research Center of Ophthalmic Disease, Changsha, Hunan, China.","{'entity_group': 'ORG', 'score': 0.99920964, 'word': 'Hunan Clinical Research Center of Ophthalmic Disease', 'start': 0, 'end': 52}","{'entity_group': 'LOC', 'score': 0.99992776, 'word': 'Changsha', 'start': 54, 'end': 62}","{'entity_group': 'LOC', 'score': 0.9999858, 'word': 'Hunan', 'start': 64, 'end': 69}","{'entity_group': 'LOC', 'score': 0.9999964, 'word': 'China', 'start': 71, 'end': 76}","{'entity_group': 'ORG', 'score': 0.82103163, 'word': '.', 'start': 76, 'end': 77}",,,,,,,,,,
"Biomedecine Agency, Saint Denis La Plaine.","{'entity_group': 'ORG', 'score': 0.99999535, 'word': 'Biomedecine Agency', 'start': 0, 'end': 18}","{'entity_group': 'LOC', 'score': 0.9999731, 'word': 'Saint Denis La Plaine', 'start': 20, 'end': 41}","{'entity_group': 'ORG', 'score': 0.92253125, 'word': '.', 'start': 41, 'end': 42}",,,,,,,,,,,,
"Project Management Department, Sanwa Kagaku Kenkyusho Co., Ltd., Nagoya, Japan.","{'entity_group': 'ORG', 'score': 0.9994619, 'word': 'Sanwa Kagaku Kenkyusho Co., Ltd', 'start': 31, 'end': 62}","{'entity_group': 'LOC', 'score': 0.9999953, 'word': 'Nagoya', 'start': 65, 'end': 71}","{'entity_group': 'LOC', 'score': 0.9999968, 'word': 'Japan', 'start': 73, 'end': 78}",,,,,,,,,,,,
"Translational Research Institute, Brisbane, Australia","{'entity_group': 'ORG', 'score': 0.99999624, 'word': 'Translational Research Institute', 'start': 0, 'end': 32}","{'entity_group': 'LOC', 'score': 0.99997187, 'word': 'Brisbane', 'start': 34, 'end': 42}","{'entity_group': 'LOC', 'score': 0.9999964, 'word': 'Australia', 'start': 44, 'end': 53}",,,,,,,,,,,,
"Pediatric Nephrology, State University of Campinas (UNICAMP), Campinas, Brazil.","{'entity_group': 'ORG', 'score': 0.99356866, 'word': 'Pediatri', 'start': 0, 'end': 8}","{'entity_group': 'ORG', 'score': 0.8820653, 'word': 'Nephrology', 'start': 10, 'end': 20}","{'entity_group': 'ORG', 'score': 0.99900264, 'word': 'State University of Campinas', 'start': 22, 'end': 50}","{'entity_group': 'ORG', 'score': 0.99983144, 'word': 'UNICAMP', 'start': 52, 'end': 59}","{'entity_group': 'LOC', 'score': 0.99998826, 'word': 'Campinas', 'start': 62, 'end': 70}","{'entity_group': 'LOC', 'score': 0.9999901, 'word': 'Brazil', 'start': 72, 'end': 78}",,,,,,,,,
"Otsuka Pharmaceutical Development & Commercialization, Princeton, New Jersey.","{'entity_group': 'ORG', 'score': 0.99984175, 'word': 'Otsuka Pharmaceutical Development & Commercialization', 'start': 0, 'end': 53}","{'entity_group': 'LOC', 'score': 0.9998368, 'word': 'Princeton', 'start': 55, 'end': 64}","{'entity_group': 'LOC', 'score': 0.9999767, 'word': 'New Jersey', 'start': 66, 'end': 76}","{'entity_group': 'ORG', 'score': 0.96053845, 'word': '.', 'start': 76, 'end': 77}",,,,,,,,,,,
"AMGA (American Medical Group Association), Alexandria, Virginia and OptumLabs Visiting Fellow.","{'entity_group': 'ORG', 'score': 0.9999926, 'word': 'AMGA', 'start': 0, 'end': 4}","{'entity_group': 'ORG', 'score': 0.99998623, 'word': 'American Medical Group Association', 'start': 6, 'end': 40}","{'entity_group': 'LOC', 'score': 0.9999873, 'word': 'Alexandria', 'start': 43, 'end': 53}","{'entity_group': 'LOC', 'score': 0.99999297, 'word': 'Virginia', 'start': 55, 'end': 63}","{'entity_group': 'ORG', 'score': 0.99997735, 'word': 'OptumLabs', 'start': 68, 'end': 77}",,,,,,,,,,
"Department of Nephrology, Clinique Sainte Anne, Strasbourg, France.","{'entity_group': 'ORG', 'score': 0.95557946, 'word': 'Department of Nephrology', 'start': 0, 'end': 24}","{'entity_group': 'ORG', 'score': 0.96063685, 'word': 'Clinique Sainte Anne', 'start': 26, 'end': 46}","{'entity_group': 'LOC', 'score': 0.99998116, 'word': 'Strasbourg', 'start': 48, 'end': 58}","{'entity_group': 'LOC', 'score': 0.999998, 'word': 'France', 'start': 60, 'end': 66}",,,,,,,,,,,
"Department of Nephrology, Hôpital Européen Georges Pompidou, Assistance Publique-Hôpitaux de Paris, Paris","{'entity_group': 'ORG', 'score': 0.59010756, 'word': 'Department', 'start': 0, 'end': 10}","{'entity_group': 'ORG', 'score': 0.80283415, 'word': 'Nephrology', 'start': 14, 'end': 24}","{'entity_group': 'LOC', 'score': 0.8959354, 'word': 'Hôpital Européen Georges Pompidou', 'start': 26, 'end': 59}","{'entity_group': 'LOC', 'score': 0.9514005, 'word': 'Assistance Publique-Hôpitaux de Paris', 'start': 61, 'end': 98}","{'entity_group': 'LOC', 'score': 0.99999404, 'word': 'Paris', 'start': 100, 'end': 105}",,,,,,,,,,
"Division of Nephrology, San Francisco, California.","{'entity_group': 'ORG', 'score': 0.9997886, 'word': 'Division of Nephrology', 'start': 0, 'end': 22}","{'entity_group': 'LOC', 'score': 0.99998283, 'word': 'San Francisco', 'start': 24, 'end': 37}","{'entity_group': 'LOC', 'score': 0.99999344, 'word': 'California', 'start': 39, 'end': 49}",,,,,,,,,,,,
