,Abstract,KIDNEY,TRANSPLANT,BOTH,CATEGORY
0,"Thrombotic microangiopathy (TMA), a pathological lesion observed in a wide spectrum of diseases, is triggered by endothelial injury and/or dysfunction. Although TMA lesions are often accompanied by clinical features of microangiopathic hemolytic anemia, thrombocytopenia, and ischemic end-organ injury, renal-limited forms of TMA are not infrequently encountered in clinical practice. The presence of renal-limited manifestations can be diagnostically challenging, often delaying the initiation of targeted therapy. Prompt investigation and empirical treatment of TMA is warranted to reduce associated morbidity and mortality. Major advances have been made with respect to the pathophysiology of primary TMA entities, with the subsequent development of novel diagnostic tools and lifesaving therapies for diseases like thrombotic thrombocytopenic purpura and complement-mediated TMA. This article will review the clinical presentation and pathologic hallmarks of TMA involving the kidney, and the disease-specific mechanisms that contribute to the endothelial injury that characterizes TMA lesions. Diagnostic approach and both empirical and disease-specific treatment strategies will be discussed, along with the potential role for emerging targeted disease-specific therapies.",Yes,,,"[{'Clinical Research in Nephrology': 0.29629915952682495, 'Cardionephrology': 0.21434110403060913, 'Pediatric Nephrology': 0.205282524228096, 'Onconephrology': 0.09424671530723572, 'Critical Care in Nephrology': 0.0850345641374588, 'Blood Purification': 0.04345562681555748, 'Kidney Transplantation': 0.03682110458612442, 'Glomerular Disease': 0.02451915107667446}]"
1,"IgA nephropathy can progress to kidney failure, and risk assessment soon after diagnosis has advantages both for clinical management and the development of new therapeutics. We present relationships among proteinuria, eGFR slope, and lifetime risks for kidney failure.",Yes,,,"[{'Clinical Research in Nephrology': 0.8595584630966187, 'Cardionephrology': 0.03811465948820114, 'Critical Care in Nephrology': 0.024570172652602196, 'Blood Purification': 0.022306427359580994, 'Pediatric Nephrology': 0.02003759704530239, 'Kidney Transplantation': 0.01565583609044552, 'Glomerular Disease': 0.01070431713014841, 'Onconephrology': 0.009052625857293606}]"
2,"AKI is a common complication of critical illness and is associated with substantial morbidity and risk of death. Continuous KRT comprises a spectrum of dialysis modalities preferably used to provide kidney support to patients with AKI who are hemodynamically unstable and critically ill. The various continuous KRT modalities are distinguished by different mechanisms of solute transport and use of dialysate and/or replacement solutions. Considerable variation exists in the application of continuous KRT due to a lack of standardization in how the treatments are prescribed, delivered, and optimized to improve patient outcomes. In this manuscript, we present an overview of the therapy, recent clinical trials, and outcome studies. We review the indications for continuous KRT and the technical aspects of the treatment, including continuous KRT modality, vascular access, dosing of continuous KRT, anticoagulation, volume management, nutrition, and continuous KRT complications. Finally, we highlight the need for close collaboration of a multidisciplinary team and development of quality assurance programs for the provision of high-quality and effective continuous KRT.",Yes,,,"[{'Kidney Transplantation': 0.4280448853969574, 'Critical Care in Nephrology': 0.29784518480300903, 'Cardionephrology': 0.15844909846782684, 'Clinical Research in Nephrology': 0.07209097594022751, 'Glomerular Disease': 0.01746341772377491, 'Blood Purification': 0.009741871617734432, 'Onconephrology': 0.008987536653876305, 'Pediatric Nephrology': 0.007376984693109989}]"
3,"As the global prevalence of peritoneal dialysis (PD) continues to grow, practitioners must be equipped with prescribing strategies that focus on the needs and preferences of patients. PD is an effective form of kidney replacement therapy that offers numerous benefits to patients, including more flexibility in schedules compared with in-center hemodialysis (HD). Additional benefits of PD include salt and water removal without significant changes in patient hemodynamics. This continuous yet gentle removal of solutes and fluid is associated with better-preserved residual kidney function. Unfortunately, sometimes these advantages are overlooked at the expense of an emphasis on achieving small solute clearance targets. A more patient-centered approach emphasizes the importance of individualized treatment, particularly when considering incremental PD and other prescriptions that align with lifestyle preferences. In shifting the focus from small solute clearance targets to patient needs and clinical goals, PD remains an attractive, patient-centered form of kidney replacement therapy.",Yes,,,"[{'Kidney Transplantation': 0.3455509543418884, 'Critical Care in Nephrology': 0.17301258444786072, 'Cardionephrology': 0.16952168941497803, 'Glomerular Disease': 0.11171291768550873, 'Pediatric Nephrology': 0.0861261636018753, 'Blood Purification': 0.08203890919685364, 'Clinical Research in Nephrology': 0.019447794184088707, 'Onconephrology': 0.012588981539011002}]"
4,"KRT is considered for patients with severe AKI and associated complications. The exact indications for initiating KRT have been debated for decades. There is a general consensus that KRT should be considered in patients with AKI and medically refractory complications (""urgent indications""). ""Relative indications"" are more common but defined with less precision. In this review, we summarize the latest evidence from recent landmark clinical trials, discuss strategies to anticipate the need for KRT in individual patients, and propose an algorithm for decision making. We emphasize that the decision to consider KRT should be made in conjunction with other forms of organ support therapies and important nonkidney factors, including the patient's preferences and overall goals of care. We also suggest future research to differentiate patients who benefit from timely initiation of KRT from those with imminent recovery of kidney function. Until then, efforts are needed to optimize the initiation and delivery of KRT in routine clinical practice, to minimize nonessential variation, and to ensure that patients with persistent AKI or progressive organ failure affected by AKI receive KRT in a timely manner.",Yes,,,"[{'Kidney Transplantation': 0.6280585527420044, 'Cardionephrology': 0.14671999216079712, 'Critical Care in Nephrology': 0.11846193671226501, 'Clinical Research in Nephrology': 0.05812062695622444, 'Glomerular Disease': 0.017691126093268394, 'Onconephrology': 0.01612143963575363, 'Pediatric Nephrology': 0.010097229853272438, 'Blood Purification': 0.004729155916720629}]"
5,"The syndrome of inappropriate antidiuresis (SIAD) is characterized by a reduction of free water excretion with consecutive hypotonic hyponatremia and is therefore challenging to treat. The sodium-glucose cotransporter 2 (SGLT2) inhibitor empagliflozin promotes osmotic diuresis via urinary glucose excretion, likely leading to increased electrolyte free water clearance.",Yes,,,"[{'Clinical Research in Nephrology': 0.29595431685447693, 'Pediatric Nephrology': 0.25649574398994446, 'Critical Care in Nephrology': 0.17521828413009644, 'Cardionephrology': 0.12043730914592743, 'Blood Purification': 0.05326882377266884, 'Onconephrology': 0.052541062235832214, 'Glomerular Disease': 0.027573425322771072, 'Kidney Transplantation': 0.018511004745960236}]"
6,"The pivotal event in the pathophysiology of IgA nephropathy is the binding of circulating IgA-containing immune complexes to mesangial cells, with secondary glomerular and tubulointerstitial inflammation and fibrosis. The paramount difficulty in the management of IgA nephropathy is the heterogeneity in its clinical presentation and prognosis, requiring an individualized treatment approach. Goal-directed supportive care remains the bedrock of therapy for all patients, regardless of risk of progression. Sodium-glucose transporter 2 inhibitors and sparsentan should be integral to contemporary supportive care, particularly in patients with chronic kidney damage. Pending the development of reliable biomarkers, it remains a challenge to identify patients prone to progression due to active disease and most likely to derive a net benefit from immunosuppression. The use of clinical parameters, including the degree of proteinuria, the presence of persistent microscopic hematuria, and the rate of eGFR loss, combined with the mesangial hypercellularity, endocapillary hypercellularity, segmental glomerulosclerosis, tubular atrophy/interstitial fibrosis, crescents score, is currently the best approach. Systemic glucocorticoids are indicated in high-risk patients, but the beneficial effects wane after withdrawal and come at the price of substantial treatment-associated toxicity. Therapies with direct effect on disease pathogenesis are increasingly becoming available. While targeted-release budesonide has garnered the most attention, anti-B-cell strategies and selective complement inhibition will most likely prove their added value. We propose a comprehensive approach that tackles the different targets in the pathophysiology of IgA nephropathy according to their relevance in the individual patient.",Yes,,,"[{'Clinical Research in Nephrology': 0.23678436875343323, 'Critical Care in Nephrology': 0.22408626973628998, 'Cardionephrology': 0.13492539525032043, 'Pediatric Nephrology': 0.12609997391700745, 'Glomerular Disease': 0.10727818310260773, 'Kidney Transplantation': 0.08088338375091553, 'Onconephrology': 0.045794278383255005, 'Blood Purification': 0.04414817690849304}]"
7,"Poisoning occurs after exposure to any of a number of substances, including medicines, which can result in severe toxicity including death. The nephrologist may be involved in poisonings that cause kidney disease and for targeted treatments. The overall approach to the poisoned patient involves the initial acute resuscitation and performing a risk assessment, whereby the exposure is considered in terms of the anticipated severity and in the context of the patient's status and treatments that may be required. Time-critical interventions such as gastrointestinal decontamination ( e.g. , activated charcoal) and antidotes are administered when indicated. The nephrologist is usually involved when elimination enhancement techniques are required, such as urine alkalinization or extracorporeal treatments. There is increasing data to guide decision making for the use of extracorporeal treatments in the poisoned patient. Principles to consider are clinical indications such as whether severe toxicity is present, anticipated, and/or will persist and whether the poison will be significantly removed by the extracorporeal treatment. Extracorporeal clearance is maximized for low-molecular weight drugs that are water soluble with minimal protein binding (<80%) and low endogenous clearance and volume of distribution. The dosage of some antidotes ( e.g. , N-acetylcysteine, ethanol, fomepizole) should be increased to maintain therapeutic concentrations once the extracorporeal treatment is initiated. To maximize the effect of an extracorporeal treatment, blood and effluent flows should be optimized, the filter with the largest surface area selected, and duration tailored to remove enough poison to reduce toxicity. Intermittent hemodialysis is recommended in most cases when an extracorporeal treatment is required because it is the most efficient, and continuous kidney replacement therapy is prescribed in some circumstances, particularly if intermittent hemodialysis is not readily available.",Yes,,,"[{'Critical Care in Nephrology': 0.8799154758453369, 'Clinical Research in Nephrology': 0.05234663188457489, 'Pediatric Nephrology': 0.022287767380475998, 'Blood Purification': 0.017155194655060768, 'Cardionephrology': 0.012980672530829906, 'Kidney Transplantation': 0.0064120180904865265, 'Glomerular Disease': 0.005285855382680893, 'Onconephrology': 0.003616421716287732}]"
8,"Fatigue surrounding hemodialysis treatments is a common and often debilitating symptom that impacts patients' quality of life. Intradialytic fatigue develops or worsens immediately before hemodialysis and persists through the dialysis treatment. Little is known about associated risk factors or pathophysiology, although it may relate to a classic conditioning response. Postdialysis fatigue (PDF) develops or worsens after hemodialysis and may persist for hours. There is no consensus on how to measure PDF. Estimates for the prevalence of PDF range from 20%-86%, likely due to variation in methods of ascertainment and participant characteristics. Several hypotheses seek to explain the pathophysiology of PDF, including inflammation, hypothalamic-pituitary-adrenal axis dysregulation, and osmotic and fluid shifts, but none is currently supported by compelling or consistent data. PDF is associated with several clinical factors, including cardiovascular and hemodynamic effects of the dialysis procedure, laboratory abnormalities, depression, and physical inactivity. Clinical trials have reported hypothesis-generating data about the utility of cold dialysate, frequent dialysis, clearance of large middle molecules, treatment of depression, and exercise as potential treatments. Existing studies are often limited by sample size, lack of a control group, observational design, or short intervention duration. Robust studies are needed to establish the pathophysiology and management of this important symptom.",Yes,,,"[{'Clinical Research in Nephrology': 0.3636312782764435, 'Kidney Transplantation': 0.30559659004211426, 'Cardionephrology': 0.17054764926433563, 'Critical Care in Nephrology': 0.11776334047317505, 'Blood Purification': 0.02306252159178257, 'Glomerular Disease': 0.012156511656939983, 'Onconephrology': 0.004171873442828655, 'Pediatric Nephrology': 0.0030702308285981417}]"
9,"The American Society of Transplant Surgeons supports efforts to increase the number of organs that are critically needed for patients desperately awaiting transplantation. In the United States, transplantation using organs procured from donation after circulatory death (DCD) donors has continued to increase in number. Despite these increases, substantial variability in the utilization and practices of DCD transplantation still exists. To improve DCD organ utilization, it is important to create a set of best practices for DCD recovery. The following recommendations aim to provide guidance on contemporary issues surrounding DCD organ procurement in the United States. A work group was composed of members of the American Society of Transplant Surgeon Scientific Studies Committee and the Thoracic Organ Transplantation Committee. The following topics were identified by the group either as controversial or lacking standardization: prewithdrawal preparation, definition of donor warm ischemia time, DCD surgical technique, combined thoracic and abdominal procurements, and normothermic regional perfusion. The proposed recommendations were classified on the basis of the grade of available evidence and the strength of the recommendation. This information should be valuable for transplant programs as well as for organ procurement organizations and donor hospitals as they develop robust DCD donor procurement protocols.",,Yes,,"[{'Thoracic Transplantation': 0.36461716890335083, 'Organ and Tissue Preservation': 0.22541481256484985, 'Tissue Injury': 0.07021244615316391, 'Transplantation Immunology': 0.06440657377243042, 'Abdominal Transplantation': 0.053825754672288895, 'Repair': 0.05139676108956337, 'Immunosuppression': 0.04145395755767822, 'Vascularized Composite Allotransplantation': 0.032425183802843094, 'Inflammation and Aging': 0.030151911079883575, 'Bioengineering': 0.03000796213746071, 'Cell and Stem Cell Transplantation': 0.01851114258170128, 'Xenotransplantation': 0.017576444894075394}]"
11,"The last few years have seen several developments in the field of peritoneal dialysis (PD), including successful use of acute PD, increasing emphasis on home dialysis utilization, and improved understanding of models of peritoneal solute transfer. This installment of AJKD's Core Curriculum in Nephrology emphasizes the latest data available for prevention and management of infectious and noninfectious complications of PD. Through case vignettes, appropriate strategies for diagnosis and care of patients with PD peritonitis are reviewed as well as noninfectious complications evident in clinical practice including complications from increased intra-abdominal pressure, namely pericatheter and abdominal leaks, hernia formation, and complications from pleuroperitoneal communication (hydrothorax). Although rates of incisional hernias and pericatheter leaks have decreased with improved peritoneal dialysis catheter insertion techniques, these mechanical complications continue to be common occurrences and are reviewed via pertinent clinical vignettes which aim to address and discuss common implications of these scenarios. Finally, this Core Curriculum article covers a practical overview of peritoneal dialysis catheter dysfunction.",Yes,,,"[{'Kidney Transplantation': 0.4860393702983856, 'Pediatric Nephrology': 0.28006893396377563, 'Critical Care in Nephrology': 0.06250721216201782, 'Blood Purification': 0.04655902832746506, 'Cardionephrology': 0.03922634944319725, 'Clinical Research in Nephrology': 0.03810274973511696, 'Glomerular Disease': 0.029777929186820984, 'Onconephrology': 0.017718464136123657}]"
12,"Individuals with liver disease are susceptible to pathophysiological derangements that lead to kidney dysfunction. Patients with advanced cirrhosis and acute liver failure (ALF) are at risk of developing acute kidney injury (AKI). Hepatorenal syndrome type 1 (HRS-1, also called HRS-AKI) constitutes a form of AKI unique to the state of cirrhosis and portal hypertension. Although HRS-1 is a condition primarily characterized by marked renal vasoconstriction and kidney hypoperfusion, other pathogenic processes, such as acute tubular injury and renal vein congestion, can overlap and further complicate the course of HRS-1. ALF can lead to AKI through mechanisms that involve systemic inflammation, direct drug toxicity, or bile acid-induced tubulopathy. In addition, the growing prevalence of nonalcoholic steatohepatitis is changing the spectrum of chronic kidney disease in cirrhosis. In this installment of AJKD's Core Curriculum in Nephrology, we explore the underpinnings of how cirrhosis, ALF, acute cholestasis, and post-liver transplantation can be associated with various forms of acute, subacute, or chronic kidney diseases. We navigate through the recommended therapies for each condition, including supportive care, pharmacological interventions, kidney replacement therapy, and organ transplantation. Finally, key acid-base and electrolyte disorders associated with hepatobiliary disease are also summarized.",Yes,Yes,Yes,"[{'Clinical Research in Nephrology': 0.3663368821144104, 'Critical Care in Nephrology': 0.22268567979335785, 'Cardionephrology': 0.08904512226581573, 'Onconephrology': 0.08285913616418839, 'Pediatric Nephrology': 0.07456106692552567, 'Glomerular Disease': 0.0594840943813324, 'Blood Purification': 0.056902892887592316, 'Kidney Transplantation': 0.04812515899538994}, {'Organ and Tissue Preservation': 0.2801543176174164, 'Tissue Injury': 0.21581114828586578, 'Inflammation and Aging': 0.13012142479419708, 'Repair': 0.0642712339758873, 'Abdominal Transplantation': 0.05876261740922928, 'Immunosuppression': 0.04991092532873154, 'Vascularized Composite Allotransplantation': 0.04647663235664368, 'Thoracic Transplantation': 0.037297382950782776, 'Transplantation Immunology': 0.03710649162530899, 'Cell and Stem Cell Transplantation': 0.0341535359621048, 'Xenotransplantation': 0.025906261056661606, 'Bioengineering': 0.020027996972203255}]"
13,"IgG4-related kidney disease is a major manifestation of IgG4-related disease, a systemic fibroinflammatory disorder. However, the clinical and prognostic kidney-related factors in patients with IgG4-related kidney disease are insufficiently defined.",Yes,,,"[{'Clinical Research in Nephrology': 0.44337373971939087, 'Cardionephrology': 0.22641026973724365, 'Onconephrology': 0.10453280061483383, 'Pediatric Nephrology': 0.06959807127714157, 'Kidney Transplantation': 0.057501427829265594, 'Critical Care in Nephrology': 0.05726022645831108, 'Blood Purification': 0.022367149591445923, 'Glomerular Disease': 0.018956316635012627}]"
14,"Pregnancies in women with CKD carry greater risk than pregnancies in the general population. The small number of women in prior studies has limited estimates of this risk, especially among those with advanced CKD. We report the results of a population-based cohort study in Ontario, Canada, that assessed more than 500,000 pregnancies, including 600 with a baseline eGFR < 60 ml/min per 1.73 m 2 . The investigation demonstrates increases in risk of different adverse maternal and fetal outcomes with lower eGFR and further risk elevation with baseline proteinuria.",Yes,,,"[{'Cardionephrology': 0.49984923005104065, 'Glomerular Disease': 0.20907855033874512, 'Clinical Research in Nephrology': 0.10291499644517899, 'Pediatric Nephrology': 0.08082691580057144, 'Onconephrology': 0.05358221009373665, 'Kidney Transplantation': 0.019753115251660347, 'Blood Purification': 0.01704902946949005, 'Critical Care in Nephrology': 0.016945920884609222}]"
