,PMID,DOIS,DESTINATION
10,36822739,https://www.doi.org/10.1053/j.ajkd.2022.12.001,https://linkinghub.elsevier.com/
33,37314770,https://www.doi.org/10.2215/CJN.0000000000000221,https://journals.lww.com/
55,37081637,https://www.doi.org/10.2215/CJN.0000000000000183,https://journals.lww.com/
77,36428134,https://www.doi.org/10.1053/j.ajkd.2022.09.007,https://linkinghub.elsevier.com/
101,36759239,https://www.doi.org/10.1053/j.ajkd.2022.11.002,https://linkinghub.elsevier.com/
106,37589626,https://www.doi.org/10.1053/j.ajkd.2023.07.004,https://linkinghub.elsevier.com/
115,36528464,https://www.doi.org/10.1053/j.ajkd.2022.10.004,https://linkinghub.elsevier.com/
146,36775203,https://www.doi.org/10.1016/j.ajt.2023.02.013,https://linkinghub.elsevier.com/
147,36153151,https://www.doi.org/10.1053/j.ajkd.2022.07.002,https://linkinghub.elsevier.com/
156,37499685,https://www.doi.org/10.2215/CJN.0000000000000268,https://journals.lww.com/
164,37526983,https://www.doi.org/10.1681/ASN.0000000000000162,https://journals.lww.com/
188,37801688,https://www.doi.org/10.2215/CJN.0000000000000338,https://journals.lww.com/
219,37737748,https://www.doi.org/10.1053/j.ajkd.2023.08.001,https://linkinghub.elsevier.com/
282,37318401,https://www.doi.org/10.1053/j.ajkd.2023.05.001,https://linkinghub.elsevier.com/
291,35842013,https://www.doi.org/10.1053/j.ajkd.2022.05.014,https://linkinghub.elsevier.com/
301,38081406,https://www.doi.org/10.1053/j.ajkd.2023.12.001,https://linkinghub.elsevier.com/
315,37907451,https://www.doi.org/10.1681/ASN.0000000000000251,https://journals.lww.com/
319,36795086,https://www.doi.org/10.2215/CJN.0000000000000091,https://journals.lww.com/
343,37523307,https://www.doi.org/10.2215/CJN.0000000000000272,https://journals.lww.com/
345,38127033,https://www.doi.org/10.1053/j.ajkd.2023.11.001,https://linkinghub.elsevier.com/
356,36750034,https://www.doi.org/10.2215/CJN.0000000000000084,https://journals.lww.com/
360,37024155,https://www.doi.org/10.1016/j.ajt.2023.01.014,https://linkinghub.elsevier.com/
366,36914585,https://www.doi.org/10.2215/CJN.0000000000000125,https://journals.lww.com/
385,35810826,https://www.doi.org/10.1053/j.ajkd.2022.05.013,https://linkinghub.elsevier.com/
394,36735373,https://www.doi.org/10.1681/ASN.0000000000000032,https://journals.lww.com/
