,Unnamed: 0,LOC_SET
0,"Hunan Clinical Research Center of Ophthalmic Disease, Changsha, Hunan, China.","{'Changsha', 'Hunan', 'China'}"
1,"Biomedecine Agency, Saint Denis La Plaine.",{'Saint Denis La Plaine'}
2,"Project Management Department, Sanwa Kagaku Kenkyusho Co., Ltd., Nagoya, Japan.","{'Japan', 'Nagoya'}"
3,"Translational Research Institute, Brisbane, Australia","{'Brisbane', 'Australia'}"
4,"Pediatric Nephrology, State University of Campinas (UNICAMP), Campinas, Brazil.","{'Brazil', 'Campinas'}"
5,"Otsuka Pharmaceutical Development & Commercialization, Princeton, New Jersey.","{'Princeton', 'New Jersey'}"
6,"AMGA (American Medical Group Association), Alexandria, Virginia and OptumLabs Visiting Fellow.","{'Alexandria', 'Virginia'}"
7,"Department of Nephrology, Clinique Sainte Anne, Strasbourg, France.","{'France', 'Strasbourg'}"
8,"Department of Nephrology, Hôpital Européen Georges Pompidou, Assistance Publique-Hôpitaux de Paris, Paris","{'Assistance Publique-Hôpitaux de Paris', 'Paris', 'Hôpital Européen Georges Pompidou'}"
9,"Division of Nephrology, San Francisco, California.","{'California', 'San Francisco'}"
10,"Division of Pathology, Hôpital Maisonneuve-Rosemont, Université de Montréal, Montréal, Québec, Canada.","{'al Maisonneuve-Rosemont', 'Canada', 'Montréal', 'Québec'}"
11,"Department of Pediatrics, University Hospital of Split, Split, Croatia.","{'Split', 'University Hospital of Split', 'Croatia'}"
12,"Department of Medicine, Division of Nephrology and Hypertension and Department of Transplantation Medicine, New York Presbyterian Hospital-Weill Cornell Medical Center, New York, NY.","{'New York', 'New York Presbyterian Hospital-Weill Cornell Medical Center', 'NY'}"
13,"Centre de Référence des Maladies Rénales Rares, Hôpital Femme Mère Enfant, Lyon, France.","{'Hôpital Femme Mère Enfant', 'France', 'Lyon'}"
14,"Department of Molecular and Clinical Medicine, Institute of Medicine, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.","{'Gothenburg', 'Sweden'}"
15,"Division of Nephrology, Yale University, New Haven, Connecticut.","{'Connecticut', 'New Haven'}"
16,"Renal-Electrolyte and Hypertension Division, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA","{'Pennsylvania', 'USA', 'Philadelphia', 'lman School', 'Medicine'}"
17,"Ludwig Boltzmann Institute for Osteology at the Hanusch Hospital of OEGK and AUVA Trauma Centre Meidling, 1st Medical Department, Hanusch Hospital, Vienna, Austria.","{'Vienna', 'Austria', 'Hanusch Hospital'}"
18,"Department of Obstetrics and Gynecology, University of Washington, Seattle, WA.","{'Seattle', 'WA'}"
19,"Institute of Pathology, University Hospital Tübingen, Tübingen, Germany.","{'Germany', 'Tübingen', 'University Hospital Tübingen'}"
20,"Department of Medicine, University of Hong Kong, Queen Mary Hospital, Pokfulam, Hong Kong.","{'Hong Kong', 'Pokfulam', 'Queen Mary Hospital'}"
21,"Ajmera Transplant Centre, University Health Network, Toronto, Ontario, Canada. Electronic address: istvan.mucsi@utoronto.ca.","{'Ontario', 'Canada', 'Toronto'}"
22,"Department of Obstetrics and Gynecology, Xijing Hospital, The Fourth Military Medical University, Xi'an, People's Republic of China.","{""People's Republic of China"", 'Xijing Hospital', ""Xi'an""}"
