,Unnamed: 0,PARENT
5,"Otsuka Pharmaceutical Development & Commercialization, Princeton, New Jersey.",Otsuka Inc]JP
6,"AMGA (American Medical Group Association), Alexandria, Virginia and OptumLabs Visiting Fellow.",AMGA]US
9,"Division of Nephrology, San Francisco, California.",
12,"Department of Medicine, Division of Nephrology and Hypertension and Department of Transplantation Medicine, New York Presbyterian Hospital-Weill Cornell Medical Center, New York, NY.",Cornell University]US
15,"Division of Nephrology, Yale University, New Haven, Connecticut.",Yale University]US
16,"Renal-Electrolyte and Hypertension Division, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA",University of Pennsylvania]US
18,"Department of Obstetrics and Gynecology, University of Washington, Seattle, WA.",University of Washington]US
25,"Department of Regenerative Medicine Research, Texas Heart Institute, Houston, TX.",Texas Heart Institute]US
27,"Department of Surgery, Division of Transplantation and Department of Microbiology and Immunology, University of Maryland School of Medicine, Baltimore, MD.",University of Maryland]US
29,"Division of Nephrology, Department of Medicine, Columbia University, New York, New York.",Columbia University]US
30,"Department of Medicine, Cedars-Sinai Medical Center, Los Angeles, California, USA.",University of California]US
31,"Department Epidemiology and Biostatistics, University of California at San Francisco, San Francisco",University of California]US
32,"Division of Nephrology-Hypertension, University of California San Diego, San Diego, California.",University of California]US
40,"Department of Medicine, University of Alabama at Birmingham and VA Birmingham Health Care, Birmingham, Alabama.",University of Alabama]US
41,"University of Alabama at Birmingham, Heersink School of Medicine, Birmingham, Alabama, USA.",Univeristy of Alabama]US
45,"School of Public Health, The University of Texas Health Science Center at Houston, Houston, Texas.",University of Texas]US
46,"Division of Transplantation, Department of Surgery, University of California, San Francisco, California, USA. Electronic address: qizhi.tang@ucsf.edu.",University of California]US
50,"Division of Abdominal Transplantation, Department of Surgery and Perioperative Care, Dell Medical School at the University of Texas at Austin, Austin, Texas, USA.",University of Texas]US
57,"Division of Cardiovascular Disease, University of Alabama-Birmingham, Birmingham, Alabama.",University of Alabama]US
65,"Division of General Internal Medicine, School of Medicine, Duke University, Durham, North Carolina",Duke University]US
71,"GlaxoSmithKline, Collegeville, PA.",GlaxoSmithKline Inc]GB
74,"Department of Surgery, Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina, USA.",University of North Carolina]US
78,"Division of Nephrology, University of California San Francisco, San Francisco, California.",University of California]US
79,"Division of Nephrology and Transplant, Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana, USA.",Indiana University]US
81,"Department of Quantitative Health Sciences, Mayo Clinic, Jacksonville, FL.",Mayo Clinic]US
82,"Department of Surgery and Emory Transplant Center, Emory University, Atlanta, Georgia, USA.",Emory University]US
84,"Department of Urology, Columbia University Irving Medical Center, New York, New York.",Columbia University]US
86,"Department of Cardiology , Texas Heart Institute , Houston , Texas.",Texas Heart Institute]US
87,"Thomas E. Starzl Transplant Institute, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",University of Pittsburgh]US
88,"Department of Medicine (Nephrology), Stanford University, Palo Alto, California.",Stanford University]US
91,"Department of Systems Biology and Columbia Genome Center, Columbia University, New York, New York.",Columbia University]US
94,"Division of Nephrology, Department of Medicine, University of Texas Southwestern Medical Center, Dallas, Texas.",University of Texas]US
96,"Division of Nephrology, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD. Electronic address: chirag.parikh@jhmi.edu.",Johns Hopkins University]US
97,"Division of Nephrology, Department of Medicine, Duke University, Durham, North Carolina",Duke University]US
99,"Division of General Internal Medicine and Hospital Medicine, University of Colorado, Anschutz Medical Campus, Aurora, Colorado.",University of Colorado]US
100,"Glickman Urology and Kidney and Lerner Research Institutes , Cleveland Clinic , and Departments of Molecular Medicine and Physiology and Biophysics , Case Western Reserve University, Cleveland , Ohio.",Case Western Reserve University]US
101,"Starzl Transplantation Institute, Department of Surgery and Department of Immunology, University of Pittsburgh School of Medicine, Pittsburgh, PA.",University of Pittsburgh]US
103,"Division of Nephrology and Hypertension, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
104,"Division of Nephrology, Department of Medicine, Department of Veterans Affairs Medical Center, University of Alabama at Birmingham, Birmingham, Alabama.",VA Health Systems Research]US
105,"Division of Vascular Surgery and Endovascular Therapy, University of Florida, Gainesville, Florida.",University of Florida]US
108,"Department of Laboratory Medicine and Pathology, University of Minnesota, Minneapolis, MN.",University of Minnesota]US
109,"Center for Transplantation Sciences, Department of Surgery, Massachusetts General Hospital/Harvard Medical School, Boston, Massachusetts, USA. Electronic address: dkcooper@mgh.harvard.edu.",Harvard University]US
110,"Department of Public Health Sciences, Penn State College of Medicine, Hershey, Pennsylvania.",Pennsylvania State University]US
112,"Sherrie and Alan Conover Center for Liver Disease and Transplantation, Houston Methodist Hospital, Houston, TX.",Cornell University]US
113,"Department of Quantitative Health Sciences, Cleveland Clinic, Cleveland, Ohio, USA.",Case Western Reserve University]US
114,"Department of Surgery,University of Maryland School of Medicine,Baltimore,Maryland,USA.",University of Maryland]US
117,"Veterans Affairs San Diego Healthcare System, San Diego, CA.",VA Health Systems Research]US
119,"Division of Gastroenterology and Hepatology, University of California, San Francisco, California, USA.",University of California]US
124,"Section of Endocrinology, Department of Internal Medicine, Yale University School of Medicine, New Haven, Connecticut.",Yale University]US
125,"Division of Nephrology, Department of Internal Medicine, University of Michigan, Ann Arbor, Michigan.",University of Michigan]US
126,"Department of Medicine, Houston Methodist Hospital, Houston, Texas.",Cornell University]US
127,"UT Southwestern Medical Center, Dallas, Texas, USA.",University of Texas]US
128,"Division of Renal Pathology, Department of Pathology, The Johns Hopkins University School of Medicine, Baltimore, Maryland.",Johns Hopkins University]US
129,"Department of Medicine, New York University Grossman School of Medicine, New York, New York.",New York University]US
131,"Department of Medicine, University of California San Francisco at the Priscilla Chan and Mark Zuckerberg San Francisco General Hospital, San Francisco, CA",University of California]US
135,"Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA",University of North Carolina]US
136,"Department of Epidemiology, Tulane University School of Public Health and Tropical Medicine, New Orleans, LA.",Tulane University]US
137,"Department of Surgery, Duke Transplant Center, Duke University School of Medicine, Duke Clinical Research Institute, Durham, North Carolina, USA. Electronic address: stuart.knechtle@duke.edu.",Duke University]US
138,"UNC Blood Research Center, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",University of North Carolina]US
143,"Department of Family Medicine, La Maestra Community Health Centers, San Diego, California.",La Maestra Community Health Centers]US
144,"Travere Therapeutics, Inc., San Diego, California.",Travere Inc]US
146,"The Rogosin Institute, New York, New York.",Cornell University]US
148,"Department of Medicine, University of Nebraska Medical Center, Omaha, Nebraska, USA.",University of Nebraska]US
149,"Department of Pediatrics, Johns Hopkins University School of Medicine, Baltimore, MD.",Johns Hopkins University]US
151,"University of Utah Health and VA Salt Lake City Health Care System, Salt Lake City, Utah.",University of Utah]US
159,"Division of Precision Medicine, Department of Medicine, New York University Grossman School of Medicine, New York, New York.",New York University]US
160,"Center for Drug Safety and Effectiveness, Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland.",Johns Hopkins University]US
161,"Department of Pediatrics, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
165,"Division of Infectious Diseases, Beth Israel Deaconess Medical Center, Boston, Massachusetts, USA.",Tufts University]US
167,"Henry Ford Hospital, Detroit, Michigan, USA.",Henry Ford Health]US
168,"Department of Medicine, University of California, Los Angeles, California.",University of California]US
172,"Department of Pediatrics, Riley Hospital for Children at Indiana University Health, Indianapolis, Indiana.",Indiana University]US
173,"Department of Family Medicine and Public Health, UC San Diego, La Jolla, CA.",University of California]US
174,"Department of Medicine and Department of Biostatistics, Epidemiology, and Informatics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
176,"Department of Pediatrics, Division of Pediatric Nephrology, Masonic Children's Hospital, University of Minnesota, Minneapolis, Minnesota.",University of Minnesota]US
178,"Department of Surgery,College of Medicine,University of Florida, Gainesville,Florida,USA.",University of Florida]US
181,"Transplant Branch, Division of Allergy, Immunology and Transplantation, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Rockville, Maryland.",National Institutes of Health]US
185,"Division of Nephrology and Hypertension, University of North Carolina, Chapel Hill, North Carolina.",University of North Carolina]US
191,"Colorado Center for Transplantation Care, Research and Education, Aurora, Colorado, USA.",University of Colorado]US
194,"Division of Nephrology, Department of Medicine, School of Medicine, Stanford University, Stanford. Electronic address: mstedman@stanford.edu.",Stanford University]US
195,"NYU Health Sciences Library, NYU Grossman School of Medicine, NYU Langone Health, New York, New York.",New York University]US
196,"Division of Nephrology, Department of Medicine, University of California, San Francisco, California, USA.",University of California]US
197,"Washington University School of Medicine, St. Louis, Missouri.",Washington University in St. Louis]US
198,"CorMedix Inc., Berkeley Heights, New Jersey.",Cormedix Inc]US
201,"University of Chicago Medicine, Chicago, Illinois, USA",University of Chicago]US
202,"Department of Obstetrics & Gynecology, University of Washington, Seattle, Washington.",University of Washington]US
204,"Center for Health Equity Research and Promotion, VA Pittsburgh Healthcare System, Pittsburgh, Pennsylvania.",VA Health Systems Research]US
205,"Division of Hematology and Oncology, Department of Medicine, Feinberg School of Medicine, Northwestern University, Evanston, Illinois.",Northwestern Univerisity]US
206,"Social Work Services, Fresenius Medical Care North America, Waltham, Massachusetts.",Fresenius Health]US
207,"Department of Medicine, Penn Transplant Institute, University of Pennsylvania Health System, Philadelphia, Pennsylvania. Electronic address: mnh52@drexel.edu.",University of Pennsylvania]US
208,"Perelman School of Medicine at the University of Pennsylvania, Department of Medicine and Department of Biostatistics, Epidemiology, and Informatics, Philadelphia, Pennsylvania.",University of Pennsylvania]US
209,"Division of Pediatric Nephrology, Boston Children's, Boston, Massachusetts.",Harvard University]US
210,"Department of Epidemiology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
212,"Biostatistics Program, Office of the Director, National Institute of Diabetes & Digestive & Kidney Diseases, Bethesda, Maryland.",National Institutes of Health]US
217,"Department of Internal Medicine, School of Medicine, University of New Mexico, Albuquerque, NM.",University of New Mexico]US
218,"Nephrology Division, Kidney Research Institute and Institute of Translational Health Sciences, University of Washington, Seattle, Washington.",University of Washington]US
220,"Division of Pharmacotherapy and Experimental Therapeutics, UNC Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina.",University of North Carolina]US
222,"Lundquist Institute at Harbor-UCLA Medical Center, Torrance, California.",University of California]US
224,"Health Services Research Center, Emory University School of Medicine, Atlanta, Georgia, USA. Electronic address: katie.ross@emory.edu.",Emory University]US
228,"Southwest Immunodiagnostics, Inc., San Antonio, Texas, USA.",Southwest Immunodiagnotistics Inc]US
230,"Department of Biomedical Informatics, Stony Brook University, Stony Brook, New York.",State University of New York]US
231,"Departments of Medicine, Epidemiology and Population Health, and Health Policy, Stanford University School of Medicine, Stanford, California.",Stanford University]US
233,"Department of Pathology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.",Harvard University]US
238,"Department of Surgery, Transplant Institute, New York University Langone Health, New York, New York.",New York University]US
239,"Division of Hospital Medicine, Johns Hopkins Bayview Medical Center, Baltimore, Maryland, USA.",Johns Hopkins University]US
240,"University of Pittsburgh Medical Center, Children's Hospital Pittsburgh, Pittsburgh, Pennsylvania, USA.",University of Pittsburgh]US
242,"Department of Medicine, Ochsner Health, New Orleans, LA.",Ochsner Health System]US
243,"Division of Nephrology and Hypertension, Weill Cornell College of Medicine, New York, New York.",Cornell University]US
245,"Department of Anesthesiology and Critical Care, University of Pennsylvania, Philadelphia, PA.",University of Pennsylvania]US
247,"Weill Cornell Medicine-New York Presbyterian Hospital, New York, NY.",Cornell University]US
249,"Medical Affairs, Satellite Healthcare, San Jose, California.",Satellite Healthcare]US
253,"Bloomberg Kimmel Institute for Cancer Immunotherapy, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.",Johns Hopkins University]US
254,"Departments of Medicine and Surgery, University of California San Francisco, San Francisco, California.",University of California]US
256,Minnesota Department of Health.,Minnesota Department of Health]US
263,"Department of Nutrition Sciences, Drexel University College of Nursing and Health Professions, Philadelphia, Pennsylvania.",Drexel University]US
264,"Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana, USA.",Indiana University]US
265,"Pediatric Nephrology Department, Children Healthcare of Atlanta, Emory University, Atlanta, Georgia, USA.",Emory University]US
266,"Departments of Medicine and Pediatrics, Divisions of Nephrology, University of California San Francisco, San Francisco, California.",University of California]US
268,"Department of Surgery, Massachusetts General Hospital, Boston, MA.",Harvard University]US
269,"U.S. Renal Care, Plano, Texas.",US Renal Care]US
271,"Division of Nephrology, Tufts Medical Center, Boston, Massachusetts. Electronic address: linker@tuftsmedicalcenter.org.",Tufts University]US
273,"Division of Nephrology, Department of Medicine, Columbia University Irving Medical Center, New York, New York, USA. Electronic address: gkd4@cumc.columbia.edu.",Columbia University]US
274,"Department of Psychiatry and Center for Technology and Behavioral Health, Geisel School of Medicine, Dartmouth College, Hanover, New Hampshire.",Dartmouth College]US
276,"Research on Ethics, Aging, and Community Health (REACH Lab), Medford, Massachusetts.",Tufts University]US
277,"Harvard Medical School, Boston, MA.",Harvard University]US
279,"Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland.",Johns Hopkins University]US
280,"Section of Nephrology, Department of Medicine, Boston Medical Center, School of Medicine, Boston University, Boston, Massachusetts.",Boston University]US
283,"Department of Medicine (Nephrology), Case Western Reserve University/University Hospitals Cleveland Medical Center, Cleveland, OH.",Case Western Reserve University]US
284,"Department of Pathology and Laboratory Medicine, Boston University Chobanian & Avedisian School of Medicine and Boston Medical Center, Boston, MA.",Boston University]US
285,"Nephrology Division, Department of Medicine, New York University Grossman School of Medicine, New York, New York.",New York University]US
287,"University of Colorado Anschutz Medical Center, Aurora, Colorado, USA.",University of Colorado]US
288,"Department of Biomedical Data Science, Stanford University School of Medicine, Stanford, California.",Stanford University]US
289,"Division of Nephrology and Hypertension , Department of Medicine , University of Minnesota, Minneapolis, Minnesota.",University of Minnesota]US
291,"Renal Physicians Association, Rockville, Maryland.",Renal Physicians Association]US
294,"Division of Nephrology, University of Texas Southwestern Medical Center, Dallas, Texas. Electronic address: Bethany.roehm@utsouthwestern.edu.",University of Texas]US
297,"Kidney Research Institute, Division of Nephrology, Department of Medicine, University of Washington, Seattle, WA.",University of Washington]US
299,"Division of Nephrology, Department of Internal Medicine, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
300,"Geriatric Research and Education Clinical Center, Palo Alto Veterans Affairs Health Care System, Palo Alto, California.",VA Health Systems Research]US
303,"University of Colorado Anschutz Medical Campus, Aurora, Colorado.",University of Colorado]US
305,"Division of Geriatric and Palliative Medicine, Department of Internal Medicine, University of Michigan Medical School, Ann Arbor, Michigan.",University of Michigan]US
307,"Department of Surgery,Mayo Clinic Rochester,Rochester,Minnesota,USA.",Mayo Clinic]US
308,"Division of Nephrology, Department of Medicine, University of Michigan.",University of Michigan]US
309,"Welch Center for Prevention, Epidemiology and Clinical Research, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
311,"Department of Pediatrics, University of Washington School of Medicine and Seattle Children's Hospital, Seattle, Washington.",University of Washington]US
312,"Herbert Wertheim School of Public Health and Human Longevity Science, University of California, San Diego, La Jolla, California.",University of California]US
315,"Department of Pathology and Laboratory Medicine, Cedars-Sinai Medical Center, Los Angeles, California, USA.",University of California]US
316,"Department of Medicine, UWHealth Transplant Center, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, USA.",University of Wisconsin]US
318,"Department of Surgery, Duke University Medical Center, Durham, North Carolina, USA.",Duke University]US
323,"Division of Cardiology, Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts.",Harvard University]US
324,"Department of Medical Education, Texas A&M University College of Medicine, Temple, Texas.",Texas A&M University]US
