,Unnamed: 0,ORG_SET,LOC_SET
0,"Hunan Clinical Research Center of Ophthalmic Disease, Changsha, Hunan, China.",{'Hunan Clinical Research Center of Ophthalmic Disease'},"{'Changsha', 'Hunan', 'China'}"
1,"Biomedecine Agency, Saint Denis La Plaine.",{'Biomedecine Agency'},{'Saint Denis La Plaine'}
2,"Project Management Department, Sanwa Kagaku Kenkyusho Co., Ltd., Nagoya, Japan.","{'Sanwa Kagaku Kenkyusho Co., Ltd'}","{'Japan', 'Nagoya'}"
3,"Translational Research Institute, Brisbane, Australia",{'Translational Research Institute'},"{'Brisbane', 'Australia'}"
4,"Pediatric Nephrology, State University of Campinas (UNICAMP), Campinas, Brazil.","{'Nephrology', 'Pediatri', 'State University of Campinas', 'UNICAMP'}","{'Brazil', 'Campinas'}"
5,"Otsuka Pharmaceutical Development & Commercialization, Princeton, New Jersey.",{'Otsuka Pharmaceutical Development & Commercialization'},"{'Princeton', 'New Jersey'}"
6,"AMGA (American Medical Group Association), Alexandria, Virginia and OptumLabs Visiting Fellow.","{'AMGA', 'OptumLabs', 'American Medical Group Association'}","{'Alexandria', 'Virginia'}"
7,"Department of Nephrology, Clinique Sainte Anne, Strasbourg, France.","{'Department of Nephrology', 'Clinique Sainte Anne'}","{'France', 'Strasbourg'}"
8,"Department of Nephrology, Hôpital Européen Georges Pompidou, Assistance Publique-Hôpitaux de Paris, Paris","{'Nephrology', 'Department'}","{'Assistance Publique-Hôpitaux de Paris', 'Paris', 'Hôpital Européen Georges Pompidou'}"
9,"Division of Nephrology, San Francisco, California.",{'Division of Nephrology'},"{'California', 'San Francisco'}"
10,"Division of Pathology, Hôpital Maisonneuve-Rosemont, Université de Montréal, Montréal, Québec, Canada.","{'Pathology', 'Division', 'Université de Montréal'}","{'al Maisonneuve-Rosemont', 'Canada', 'Montréal', 'Québec'}"
11,"Department of Pediatrics, University Hospital of Split, Split, Croatia.",{'Pediatri'},"{'Split', 'University Hospital of Split', 'Croatia'}"
12,"Department of Medicine, Division of Nephrology and Hypertension and Department of Transplantation Medicine, New York Presbyterian Hospital-Weill Cornell Medical Center, New York, NY.","{'Department of Medicine', 'Department of Transplantation Medicine', 'Division of Nephrology and Hypertension'}","{'New York', 'New York Presbyterian Hospital-Weill Cornell Medical Center', 'NY'}"
13,"Centre de Référence des Maladies Rénales Rares, Hôpital Femme Mère Enfant, Lyon, France.",{'Centre de Référence des Maladies Rénales Rares'},"{'Hôpital Femme Mère Enfant', 'France', 'Lyon'}"
