,Unnamed: 0,PARENT
0,"Department of Nephrology, Vivantes Klinikum im Friedrichshain, Berlin, Germany.",Vivantes Group Co]DE
1,"The Second People's Hospital of Shenzhen, Shenzhen University, Shenzhen, China.",Shenzhen University]CN
2,"Department of Radiology , Beijing Friendship Hospital , Capital Medical University, Beijing , China.",Capital Medical University]CN
3,"Department of Pediatrics B, Edmond and Lily Safra Children's Hospital, Sheba Medical Center, Tel-Hashomer, Ramat-Gan, Israel.",Tel-Aviv University]IL
4,"Department of Hepatobiliary Surgery, the First Affiliated Hospital of Chongqing Medical University, Chongqing, People's Republic of China. Electronic address: caozhenrui1997@qq.com.",Chongqing Medical University]CN
5,"Division of Pediatric Nephrology, Edmond and Lily Safra Children's Hospital, Sheba Medical Center, Tel-Hashomer, Israel. Electronic address: asafvivante@gmail.com.",Tel-Aviv University]IL
6,"Department of Pharmacy , Peking University First Hospital, Beijing , China.",Peking University]CN
7,"Centre for Safe Medication Practice and Research, Department of Pharmacology and Pharmacy, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong SAR, China.",University of Hong Kong]HK
8,"Department of Medicine, Queen Mary Hospital, Hong Kong SAR, China.",University of Hong Kong]HK
9,"Department of Nephrology, The Key Laboratory for the Prevention and Treatment of Chronic Kidney Disease of Chongqing, Chongqing Clinical Research Center of Kidney and Urology Diseases, Xinqiao Hospital, Army Medical University (Third Military Medical University), Chongqing, China.",Army Medical University]CN
10,"Azrieili Faculty of Medicine in Galilee, Bar-Ilan University, Safed, Israel",Bar-Ilan University]IL
11,"Department of Clinical Pharmacy, the First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China.",Zhejiang University]CN
12,"Department of Nephrology, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou.",Sun Yat-Sen University]CN
13,"Department of Medicine, National Taiwan University Cancer Center, Taipei, Taiwan, Republic of China.",National Taiwan University]TW
14,"Department of Urology, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China. Electronic address: drmingzhang@126.com.",Shanghai Jiao Tong University]CN
15,"Shenzhen Key Laboratory of Hospital Chinese Medicine Preparation, Shenzhen Traditional Chinese Medicine Hospital, Fourth Clinical Medical College, Guangzhou University of Chinese Medicine, Shenzhen.",Guangzhou University]CN
16,"III. Department of Medicine, University Medical Center Hamburg-Eppendorf, Hamburg, Germany.",University of Hamburg]DE
17,"Department of General Pediatrics, Adolescent Medicine and Neonatology, Medical Center - University of Freiburg, Faculty of Medicine, University of Freiburg, Germany.",University of Freiburg]DE
18,"Liver Transplant Center, the First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China",Zhejiang University]CN
19,"National Health Commission, Key Laboratory of Chronic Kidney Disease Prevention and Treatment, Ministry of Education, Beijing, China",Peking University]CN
20,"Hunan Clinical Research Center of Ophthalmic Disease, Changsha, Hunan, China.",Hunan Clinical Research Center of Ophthalmic Disease]CN
21,"Azrieili Faculty of Medicine in Galilee, Bar-Ilan University, Safed, Israel.",Bar-Ilan University]IL
22,"Nephrology Department, Zhejiang Provincial People's Hospital, Hangzhou, China.",Hangzhou Medical College]CN
23,"Key Laboratory of Renal Disease (Peking University), Beijing, China",Peking University]CN
24,"Division of Nephrology, National Clinical Research Center for Kidney Disease, State Key Laboratory of Organ Failure Research, Nanfang Hospital, Southern Medical University, Guangzhou, China.",Southern Medical University]CN
25,"Department of Nephrology, Renmin Hospital of Wuhan University, Wuhan, Hubei Province, China.",Wuhan University]CN
26,"Department of Critical Care Medicine, Maoming People's Hospital, Maoming, China.",Maoming People's Hospital]CN
27,"Department of Hepatobiliary Surgery, the First Affiliated Hospital of Chongqing Medical University, Chongqing, People's Republic of China. Electronic address: wzjtcy@126.com.",Chongqing Medical University]CN
28,"Israel Center for Disease Control, Ramat Gan, Israel.",ICDC]IL
29,"Nephropathology Section, Institute of Pathology, University Medical Center Hamburg-Eppendorf, Hamburg, Germany.",University of Hamburg]DE
30,"Division of Epidemiology and Biostatistics, School of Public Health, The University of Hong Kong, Hong Kong SAR, China.",University of Hong Kong]HK
31,"KingMed Diagnostic Laboratory Ltd, Guangzhou.",KingMed Diagnostic Ltd]CN
32,"Nephrology and Hypertension Unit, Bnai-Zion Medical Center, Haifa, Israel.",Technion-Israel Institute of Technology]IL
33,"State Key Laboratory of Respiratory Disease, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou Medical University, Guangzhou, Guangdong 510120, China",Guangzhou Medical University]CN
34,"National Clinical Research Center for Kidney Disease, State Key Laboratory of Organ Failure Research, Nanfang Hospital, Southern Medical University. Electronic address: ffhouguangzhou@163.com.",Southern Medical University]CN
35,"Guangzhou National Laboratory, Guangzhou, Guangdong 510005, China.",Guangzhou National Laboratory]CN
36,"Genomics Unit, Sheba Cancer Research Center, Sheba Medical Center, Tel-Hashomer, Israel",Tel-Aviv University]IL
37,"Department of Medicine, Tung Wah Hospital, Hong Kong.",University of Hong Kong]HK
38,"Key Lab of Combined Multi-organ Transplantation of the Ministry of Health, the First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China. Electronic address: liangtingbo@zju.edu.cn.",Zhejiang University]CN
39,"Department of Rheumatology and Immunology, First Affiliated Hospital (Southwest Hospital) of Army Medical University, Chongqing, China.",Army Medical University]CN
40,"Department of Pediatrics II, University Hospital of Essen, Essen, Germany.",University of Duisburg-Essen]DE
41,"National Clinical Research Center for Kidney Disease, State Key Laboratory of Organ Failure Research, Nanfang Hospital, Southern Medical University. Electronic address: niesheng0202@126.com.",Southern Medical University]CN
42,"Nephrology Department, Shaoyifu Hospital, Zhejiang Medical University, Hangzhou, China.",Zhejiang University]CN
43,"Department of Hepatobiliary Surgery, the First Affiliated Hospital of Chongqing Medical University, Chongqing, People's Republic of China. Electronic address: 854596854@qq.com.",Chongqing Medical University]CN
44,"Institute for Cellular and Integrative Physiology, University Medical Center Hamburg-Eppendorf, Hamburg, Germany.",University of Hamburg]DE
45,"Children's Hospital of Fudan University, Shanghai, China.",Fudan University]CN
46,"Beijing Municipal Key Laboratory of Clinical Epidemiology, Beijing, People's Republic of China.",Capital Medical University]CN
