,Unnamed: 0,PARENT
10,"Division of Pathology, Hôpital Maisonneuve-Rosemont, Université de Montréal, Montréal, Québec, Canada.",Université de Montréal
21,"Ajmera Transplant Centre, University Health Network, Toronto, Ontario, Canada. Electronic address: istvan.mucsi@utoronto.ca.",University of Toronto
28,"Multi-Organ Transplant Program, Ajmera Transplant Center, University of Toronto, Toronto, ON, Canada.",University of Toronto
43,"Ajmera Transplant Centre, University Health Network, Toronto, Ontario, Canada.",University of Toronto
44,"Division of Nephrology, Department of Medicine, Hamilton Health Sciences Centre, McMaster University, Hamilton, Ontario, Canada.",McMaster University
49,"Department of Oncology, University of Alberta, Edmonton, Alberta, Canada.",University of Alberta
58,"Research Institute, Ottawa Hospital, Ottawa, Ontario, Canada.",
66,"Department of Medicine, Division of Hematology, University of Ottawa, Ottawa, Ontario, Canada.",University of Ottawa
73,"Department of Critical Care Medicine, Sunnybrook Health Sciences Center, University of Toronto, Toronto, Ontario, Canada.",University of Toronto
80,"Division of Thoracic Surgery, Department of Surgery, University of Toronto, Toronto, Ontario, Canada",University of Toronto
115,"Division of Immunology and Allergy, Department of Paediatrics, the Hospital for Sick Children, Toronto, Ontario, Canada.",University of Toronto
122,"Institute of Health Policy, Management, and Evaluation, University of Toronto, Toronto, Ontario, Canada",University of Toronto
133,"Cumming School of Medicine , University of Calgary , Calgary, Canada, and.",University of Calgary
162,"Department of Medicine, Division of Transplant Infectious Disease, Ajmera Transplant Centre, Toronto, ON, Canada.",
175,"University of Toronto, Toronto, Ontario, Canada",University of Toronto
184,"Division of Nephrology, Department of Medicine, McMaster University, Hamilton, Ontario, Canada.",McMaster University
186,"Institute of Medical Science, University of Toronto, Toronto, Ontario, Canada. Electronic address: shaf.keshavjee@uhn.ca.",University of Toronto
203,"Lawson Health Research Institute, London, Ontario, Canada.",
211,"Toronto Lung Transplant Program, Ajmera Multi-Organ Transplant Program and Division of Respirology, University Health Network, Toronto, Canada.",University of Toronto
225,"British Columbia Provincial Renal Agency, Vancouver, British Columbia, Canada.",
257,"Institute of Medical Science, University of Toronto, Toronto, Ontario, Canada",University of Toronto
259,"Division of Nephrology, Department of Medicine, University Health Network, Toronto, Ontario, Canada.",University of Toronto
293,"Department of Surgery, University of Alberta, Edmonton, AB, Canada.",University of Alberta
335,"University Health Network, Ajmera Transplant Centre, Toronto, Ontario, Canada. Electronic address: atul.humar@uhn.ca.",University of Toronto
343,"Department of Pediatrics, Temerty Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada.",University of Toronto
344,"Section of Nephrology, Department of Medicine, University of Calgary, Calgary.",University of Calgary
391,"Medicine, Division of Nephrology, University of British Columbia, St Paul's Hospital, Vancouver, British Columbia, Canada.",University of British Columbia
400,"Clinical Islet Transplant Program, University of Alberta, Edmonton, Alberta, Canada",University of Alberta
413,"St. Michaels, Toronto, Ontario, Canada.",
418,"Division of Nephrology , University of Toronto , Toronto , Canada.",University of Toronto
420,"Department of Pediatrics and Child Health, The Children's Hospital Research Institute of Manitoba, University of Manitoba, Winnipeg, Manitoba, Canada.",University of Manitoba
439,"Canadian Donation and Transplantation Research Program, Edmonton, Alberta, Canada",
441,"Division of Critical Care, Department of Pediatrics, Centre Mère-Enfant Soleil du CHU de Québec, Québec, Canada.",
449,"Kidney Transplant Program, Division of Nephrology, University of British Columbia, Vancouver, British Columbia, Canada",University of British Columbia
452,"Division of Nephrology, Seven Oaks Hospital, Winnipeg, Canada.",
454,"Division of Infectious Diseases, the Hospital for Sick Children, Toronto, Ontario, Canada",University of Toronto
