,aff,parent
0,"Otsuka Pharmaceutical Development & Commercialization, Princeton, New Jersey.",Otsuka Inc]JP
1,"AMGA (American Medical Group Association), Alexandria, Virginia and OptumLabs Visiting Fellow.",AMGA]US
2,"Division of Nephrology, San Francisco, California.",
3,"Department of Medicine, Division of Nephrology and Hypertension and Department of Transplantation Medicine, New York Presbyterian Hospital-Weill Cornell Medical Center, New York, NY.",Cornell University]US
4,"Division of Nephrology, Yale University, New Haven, Connecticut.",Yale University]US
5,"Renal-Electrolyte and Hypertension Division, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA",University of Pennsylvania]US
6,"Department of Obstetrics and Gynecology, University of Washington, Seattle, WA.",University of Washington]US
7,"Department of Regenerative Medicine Research, Texas Heart Institute, Houston, TX.",Texas Heart Institute]US
8,"Department of Surgery, Division of Transplantation and Department of Microbiology and Immunology, University of Maryland School of Medicine, Baltimore, MD.",University of Maryland]US
9,"Division of Nephrology, Department of Medicine, Columbia University, New York, New York.",Columbia University]US
10,"Department of Medicine, Cedars-Sinai Medical Center, Los Angeles, California, USA.",University of California]US
11,"Department Epidemiology and Biostatistics, University of California at San Francisco, San Francisco",University of California]US
12,"Division of Nephrology-Hypertension, University of California San Diego, San Diego, California.",University of California]US
13,"Department of Medicine, University of Alabama at Birmingham and VA Birmingham Health Care, Birmingham, Alabama.",University of Alabama]US
14,"University of Alabama at Birmingham, Heersink School of Medicine, Birmingham, Alabama, USA.",Univeristy of Alabama]US
15,"School of Public Health, The University of Texas Health Science Center at Houston, Houston, Texas.",University of Texas]US
16,"Division of Transplantation, Department of Surgery, University of California, San Francisco, California, USA. Electronic address: qizhi.tang@ucsf.edu.",University of California]US
17,"Division of Abdominal Transplantation, Department of Surgery and Perioperative Care, Dell Medical School at the University of Texas at Austin, Austin, Texas, USA.",University of Texas]US
18,"Division of Cardiovascular Disease, University of Alabama-Birmingham, Birmingham, Alabama.",University of Alabama]US
19,"Division of General Internal Medicine, School of Medicine, Duke University, Durham, North Carolina",Duke University]US
20,"GlaxoSmithKline, Collegeville, PA.",GlaxoSmithKline Inc]GB
21,"Department of Surgery, Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina, USA.",University of North Carolina]US
22,"Division of Nephrology, University of California San Francisco, San Francisco, California.",University of California]US
23,"Division of Nephrology and Transplant, Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana, USA.",Indiana University]US
24,"Department of Quantitative Health Sciences, Mayo Clinic, Jacksonville, FL.",Mayo Clinic]US
25,"Department of Surgery and Emory Transplant Center, Emory University, Atlanta, Georgia, USA.",Emory University]US
26,"Department of Urology, Columbia University Irving Medical Center, New York, New York.",Columbia University]US
27,"Department of Cardiology , Texas Heart Institute , Houston , Texas.",Texas Heart Institute]US
28,"Thomas E. Starzl Transplant Institute, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",University of Pittsburgh]US
29,"Department of Medicine (Nephrology), Stanford University, Palo Alto, California.",Stanford University]US
30,"Department of Systems Biology and Columbia Genome Center, Columbia University, New York, New York.",Columbia University]US
31,"Division of Nephrology, Department of Medicine, University of Texas Southwestern Medical Center, Dallas, Texas.",University of Texas]US
32,"Division of Nephrology, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD. Electronic address: chirag.parikh@jhmi.edu.",Johns Hopkins University]US
